gene,logFC,logCPM,PValue,FDR
ZBTB40,-1.128216201,5.02949691,1.76E-62,1.68E-60
FAM174B,-1.535794953,3.991102115,2.65E-62,2.52E-60
ARRDC2,1.819651366,3.442749537,3.3E-62,3.13E-60
DHX33,-1.097594714,6.219934759,4.87E-62,4.61E-60
BARX1,2.74949496,2.26794712,7.48E-62,7.07E-60
STEAP3,-1.651148725,3.921758673,7.75E-62,7.31E-60
TRIB3,-1.337689923,4.482851092,8.69E-62,8.18E-60
GLG1,0.952897712,7.694214391,9.86E-62,9.26E-60
MAT2A,-0.863935366,7.857684005,1.21E-61,1.13E-59
COL8A1,-2.755433594,2.521066434,1.34E-61,1.25E-59
RDH16,5.130434839,0.942900882,1.35E-61,1.25E-59
CBS,-0.910205907,7.65211605,1.52E-61,1.42E-59
ISLR2,3.049104781,1.867576322,1.56E-61,1.44E-59
FASTKD5,-1.40305682,4.168683422,1.78E-61,1.64E-59
SLC2A14,1.296763723,4.535791417,1.81E-61,1.67E-59
LNP1,2.395606551,2.642869256,1.85E-61,1.71E-59
CNPY2,-1.173166753,5.481311441,2.18E-61,2.01E-59
NCDN,-1.107826892,5.473470146,2.32E-61,2.13E-59
CDC6,-0.965293749,6.173069581,2.98E-61,2.73E-59
AIMP2,-1.069747438,5.371582378,3.31E-61,3.03E-59
VKORC1,1.047152937,5.721225244,5.42E-61,4.94E-59
MGAT5,-1.14075784,5.487125982,5.66E-61,5.15E-59
DIDO1,-0.901927433,6.959817703,6.11E-61,5.54E-59
AFF2,-1.624356635,3.803415103,8.14E-61,7.36E-59
PLA2G6,1.519144072,4.047994522,8.95E-61,8.08E-59
PIK3IP1,3.229741836,3.044205393,1.02E-60,9.21E-59
LIMS1,-1.031904911,5.768252912,1.25E-60,1.12E-58
LEUTX,-0.975620581,6.032523818,1.29E-60,1.16E-58
ABCG1,3.203515424,1.668474067,1.43E-60,1.28E-58
VAT1L,-1.225873276,5.338718585,1.58E-60,1.41E-58
MT1X,2.436936568,6.152268457,1.9E-60,1.69E-58
SMPDL3B,-1.191355964,5.044823659,2.37E-60,2.1E-58
NHSL1,-1.209752332,5.084062412,3.43E-60,3.04E-58
YPEL1,1.586045238,4.003358576,6.08E-60,5.36E-58
