gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
SPIN2A,-0.100386302,-0.135310195,-1,-1,0.445598132,-0.448478642,-0.333185041,-0.274192954,-0.335311213,-0.319238108,-0.266687233,-0.102836092,-0.924922294,-0.556911391,-0.653369909,-0.286072946
OTUD6A,-0.089478152,-0.021388827,-1,-1,0.998640879,0.768299412,0.582773343,1.088411822,0.627599534,-0.215372225,0.45845518,0.771783127,-1,0.827231401,0.38093067,-1
ARR3,0.717189601,0.163870402,-1,-1,0.782077351,-1,-0.149512566,-1,-0.376472953,0.488562561,0.312461714,0.097437447,-0.349830657,-0.491739694,0.772064355,-1
PDZD11,1.577213785,1.482479254,1.014357963,1.201877314,1.816689883,1.92332833,1.975992858,1.49760256,1.551593194,1.658856065,2.046700362,2.120802534,1.764491461,2.241863868,1.668229598,1.404076632
ITGB1BP2,0.171122408,0.3725473,-0.888080491,-1,0.376560351,0.771137522,0.816557457,-0.552342817,-0.237545692,0.080560111,0.507929102,0.627553157,-0.280518642,1.063080666,0.387689102,-1
BX276092.9,0.49976665,0.623982112,-1,-1,0.811496048,1.01192805,0.789085362,0.709534783,0.392766224,0.436492776,0.754807772,1.160893314,0.043185773,1.19969129,-1,-1
CXorf49,0.445114217,0.284458031,-0.213192237,0.112278823,1.31389568,1.277997499,1.230513805,0.580034615,0.593194102,0.548231028,0.792148416,0.905077595,0.074329597,1.202282837,0.098802534,-0.045084566
CXorf49B,0.260260814,0.159006519,-0.239952936,0.074226745,1.176183609,1.079758835,1.155497881,0.326208832,0.530660139,0.444753149,0.705142681,0.788663708,-0.04227781,1.022567752,0.081067051,-0.172355825
CITED1,-0.131614158,-0.29435041,-1,-1,0.018486169,0.212492303,-0.469534554,0.499617947,-1,0.684304939,-0.243605064,0.090341658,-0.5936547,-0.368985867,-1,-1
ZCCHC13,-0.067304984,-1,-1,-1,0.045289721,-1,-1,0.070131368,-0.411340235,-0.001066328,0.058206164,-0.057392092,-1,-1,-1,-1
MAGT1,1.041872513,0.857331049,0.384719981,0.821706134,1.372865443,0.938256217,1.324692886,0.962662019,1.497910681,0.990034609,1.820312154,1.500628042,0.982170972,1.569029147,1.245289294,0.895025698
SH3BGRL,1.176745104,1.090983857,-1,-1,1.165033213,0.654123576,0.483457774,0.566066091,0.323845883,1.075773174,0.960526476,0.554823505,0.237215883,1.072135885,0.468013948,0.491240635
ZNF711,0.184144671,-0.940560603,-1,-1,1.046510772,0.287206966,0.544987279,0.52562676,0.220511062,0.526899105,0.893751612,0.851567077,-0.228937885,0.852193521,-0.6509075,-1
ARL13A,0.208871138,-0.862834271,-1,-1,-1,-0.262077545,-0.004268701,-0.156057292,-1,-1,-1,-0.856193849,-1,-1,-1,-1
TAF7L,-0.30235836,-0.306601006,-0.055035726,-1,0.445930191,0.34677259,-0.477966519,0.308705243,0.382443919,0.342518018,0.006764854,0.709610392,-0.299498164,0.419221451,0.375719383,-1
TIMM8A,2.074446328,2.075367002,0.272169874,-0.650147486,2.10818468,1.88373665,1.954163605,1.670483351,2.148731875,2.064551951,2.641777218,2.331138076,1.893305874,2.439665315,2.004554368,0.262111353
BTK,0.591913769,0.510889226,-1,-1,0.058926465,-0.052873285,0.408513858,0.576858969,0.412961587,0.8254082,1.117117442,0.7356725,0.337167237,0.999368076,0.992036784,-1
NXF2,0.048506283,-0.022614407,-1,-1,0.590924831,0.400204759,0.370342817,-0.333153615,0.125227446,0.177161489,-0.191150752,-0.22969805,-0.124049229,0.233784236,-0.67171481,-1
TMSB15A,1.536338083,1.390543713,1.201508552,1.48416825,1.462626766,1.213568223,1.271685743,1.305217405,1.188457954,1.448899005,1.252616167,0.602237799,1.30025735,1.02975784,0.720018652,1.281612117
TCEAL9,2.173130594,2.178538405,-0.704184357,0.924855017,2.431403975,2.102172913,2.594163629,1.821510319,2.163149145,2.37559595,2.636771048,2.653298013,1.949550617,2.476676889,2.169538365,-0.180370398
GLRA4,-0.109159813,0.0428294,-1,-1,0.112498425,-0.191426951,-1,-0.013906294,0.073709554,-0.006099301,0.149522397,0.484003706,-1,0.997263987,0.091423896,-1
TMEM31,1.090778119,1.246661042,-1,-1,0.882603136,0.577657214,-0.612991417,0.709585728,0.806452273,0.784664214,0.809890393,1.307352676,-1,1.718150374,0.787158489,-1
